,Benchmark,Iterations,Iterations,Iterations,Iterations,Vars,Locs,Edges,Atomic_Stmts
,count,mean,std,min,max,mean,mean,mean,mean
Algorithm,,,,,,,,,
BMC_BTOR,50,8.0,0.0,8,8,685.66,3.02,3.04,829.5
BMC_C,7,14.0,0.0,14,14,382.29,5.0,4.14,910.43
CEGAR_EXPL_BTOR,25,5.0,0.0,5,5,940.72,3.0,3.0,1123.16
CEGAR_EXPL_C,7,3.0,0.0,3,3,754.14,5.0,4.14,1778.29
CEGAR_PRED_BTOR,116,6.0,0.0,6,6,1074.1,3.01,3.02,1283.62
CEGAR_PRED_C,32,5.0,0.0,5,5,3327.19,5.0,4.03,7752.53
IMC_BTOR,51,4.0,0.0,4,4,802.9,3.0,3.0,955.18
IMC_C,13,9.0,0.0,9,9,940.77,5.0,4.0,2263.85
KIND_BTOR,61,8.0,0.0,8,8,724.56,3.02,3.03,865.87
KIND_C,18,13.0,0.0,13,13,1463.28,5.0,4.06,3457.17
